# Grain Sizes, Frequency of Grain Sizes 
6.4164,0.0158
6.4264,0.0157
6.4364,0.0156
6.4464,0.0155
6.4565,0.0154
6.4665,0.0154
6.4765,0.0153
6.4865,0.0152
6.4965,0.0151
6.5065,0.0150
6.5165,0.0150
6.5265,0.0149
6.5365,0.0148
6.5465,0.0147
6.5566,0.0146
6.5666,0.0146
6.5766,0.0145
6.5866,0.0144
6.5966,0.0143
6.6066,0.0143
6.6166,0.0142
6.6266,0.0141
6.6366,0.0140
6.6466,0.0140
6.6567,0.0139
6.6667,0.0138
6.6767,0.0137
6.6867,0.0137
6.6967,0.0136
6.7067,0.0135
6.7167,0.0135
6.7267,0.0134
6.7367,0.0133
6.7467,0.0133
6.7568,0.0132
6.7668,0.0131
6.7768,0.0131
6.7868,0.0130
6.7968,0.0129
6.8068,0.0129
6.8168,0.0128
6.8268,0.0127
6.8368,0.0127
6.8468,0.0126
6.8569,0.0125
6.8669,0.0125
6.8769,0.0124
6.8869,0.0123
6.8969,0.0123
6.9069,0.0122
6.9169,0.0122
6.9269,0.0121
6.9369,0.0120
6.9469,0.0120
6.9570,0.0119
6.9670,0.0119
6.9770,0.0118
6.9870,0.0117
6.9970,0.0117
7.0070,0.0116
7.0170,0.0116
7.0270,0.0115
7.0370,0.0114
7.0470,0.0114
7.0571,0.0113
7.0671,0.0113
7.0771,0.0112
7.0871,0.0112
7.0971,0.0111
7.1071,0.0111
7.1171,0.0110
7.1271,0.0109
7.1371,0.0109
7.1471,0.0108
7.1572,0.0108
7.1672,0.0107
7.1772,0.0107
7.1872,0.0106
7.1972,0.0106
7.2072,0.0105
7.2172,0.0105
7.2272,0.0104
7.2372,0.0104
7.2472,0.0103
7.2573,0.0103
7.2673,0.0102
7.2773,0.0102
7.2873,0.0101
7.2973,0.0101
7.3073,0.0100
7.3173,0.0100
7.3273,0.0099
7.3373,0.0099
7.3473,0.0098
7.3574,0.0098
7.3674,0.0097
7.3774,0.0097
7.3874,0.0096
7.3974,0.0096
7.4074,0.0095
7.4174,0.0095
7.4274,0.0095
7.4374,0.0094
7.4474,0.0094
7.4575,0.0093
7.4675,0.0093
7.4775,0.0092
7.4875,0.0092
7.4975,0.0091
7.5075,0.0091
7.5175,0.0091
7.5275,0.0090
7.5375,0.0090
7.5475,0.0089
7.5576,0.0089
7.5676,0.0088
7.5776,0.0088
7.5876,0.0088
7.5976,0.0087
7.6076,0.0087
7.6176,0.0086
7.6276,0.0086
7.6376,0.0086
7.6476,0.0085
7.6577,0.0085
7.6677,0.0084
7.6777,0.0084
7.6877,0.0084
7.6977,0.0083
7.7077,0.0083
7.7177,0.0082
7.7277,0.0082
7.7377,0.0082
7.7477,0.0081
7.7578,0.0081
7.7678,0.0081
7.7778,0.0080
7.7878,0.0080
7.7978,0.0079
7.8078,0.0079
7.8178,0.0079
7.8278,0.0078
7.8378,0.0078
7.8478,0.0078
7.8579,0.0077
7.8679,0.0077
7.8779,0.0077
7.8879,0.0076
7.8979,0.0076
7.9079,0.0075
7.9179,0.0075
7.9279,0.0075
7.9379,0.0074
7.9479,0.0074
7.9580,0.0074
7.9680,0.0073
7.9780,0.0073
7.9880,0.0073
7.9980,0.0072
8.0080,0.0072
8.0180,0.0072
8.0280,0.0071
8.0380,0.0071
8.0480,0.0071
8.0581,0.0071
8.0681,0.0070
8.0781,0.0070
8.0881,0.0070
8.0981,0.0069
8.1081,0.0069
8.1181,0.0069
8.1281,0.0068
8.1381,0.0068
8.1481,0.0068
8.1582,0.0067
8.1682,0.0067
8.1782,0.0067
8.1882,0.0067
8.1982,0.0066
8.2082,0.0066
8.2182,0.0066
8.2282,0.0065
8.2382,0.0065
8.2482,0.0065
8.2583,0.0064
8.2683,0.0064
8.2783,0.0064
8.2883,0.0064
8.2983,0.0063
8.3083,0.0063
8.3183,0.0063
8.3283,0.0062
8.3383,0.0062
8.3483,0.0062
8.3584,0.0062
8.3684,0.0061
8.3784,0.0061
8.3884,0.0061
8.3984,0.0061
8.4084,0.0060
8.4184,0.0060
8.4284,0.0060
8.4384,0.0060
8.4484,0.0059
8.4585,0.0059
8.4685,0.0059
8.4785,0.0059
8.4885,0.0058
8.4985,0.0058
8.5085,0.0058
8.5185,0.0058
